,age,default,housing,loan,duration,campaign,previous,deposit
257,30,no,yes,no,862,11,0,1
258,38,no,yes,no,460,4,0,1
259,37,no,yes,no,467,3,0,1
260,53,no,no,no,648,2,0,1
261,29,no,yes,no,2653,3,0,1
262,35,no,no,no,1085,1,0,1
263,28,no,yes,no,369,2,0,1
264,55,no,no,no,685,3,0,1
265,49,no,yes,no,1055,10,0,1
266,50,no,no,no,882,1,0,1
267,43,no,no,no,901,1,0,1
268,58,no,no,no,700,1,0,1
269,38,no,yes,no,491,6,0,1
270,48,no,no,no,940,1,0,1
271,59,no,no,no,3881,3,0,1
272,58,no,no,no,486,3,0,1
273,36,no,no,no,1137,3,0,1
274,42,no,no,no,878,3,0,1
275,41,no,no,yes,583,4,0,1
276,42,no,no,no,1159,4,0,1
277,39,no,no,yes,893,8,0,1
278,57,no,no,yes,867,1,0,1
279,52,no,no,no,706,1,0,1
280,59,no,no,no,1199,1,0,1
281,56,no,no,no,935,1,0,1
282,49,no,no,no,586,1,0,1
283,35,no,no,no,967,2,0,1
284,36,no,no,no,595,2,0,1
285,40,no,no,no,1290,2,0,1
286,55,no,no,no,614,2,0,1
287,58,no,no,no,885,1,0,1
288,39,no,no,no,651,5,0,1
289,47,no,no,no,993,6,0,1
290,40,no,yes,no,577,2,0,1
291,35,no,no,no,1141,6,0,1
292,48,no,yes,no,1268,2,0,1
293,48,no,no,yes,1243,7,0,1
294,24,yes,yes,no,465,3,0,1
295,49,no,yes,no,513,2,0,1
296,36,no,yes,no,686,11,0,1
297,52,no,yes,yes,741,4,0,1
298,42,no,no,no,617,1,0,1
299,36,no,no,no,1093,1,0,1
300,36,no,yes,no,1395,2,0,1
301,48,no,no,no,1089,1,0,1
302,51,no,yes,no,1248,3,0,1
303,51,no,no,yes,721,3,0,1
304,46,no,yes,no,750,2,0,1
305,37,no,no,no,637,6,0,1
306,36,no,no,no,2769,4,0,1
307,47,no,no,no,556,1,0,1
308,40,no,no,no,522,1,0,1
309,38,no,no,no,1345,3,0,1
310,40,no,no,no,676,2,0,1
311,39,no,yes,no,775,3,0,1
312,60,no,no,no,2621,3,0,1
313,39,no,no,no,1029,1,0,1
314,51,no,no,no,371,2,0,1
315,27,no,yes,no,1528,2,0,1
316,41,no,no,no,1540,1,0,1
317,42,no,no,no,973,1,0,1
318,41,no,no,no,707,1,0,1
319,33,no,yes,yes,625,2,0,1
320,46,no,no,no,1255,1,0,1
321,31,no,yes,no,704,4,0,1
322,41,no,no,yes,1574,3,0,1
323,41,no,no,no,1135,4,0,1
324,55,no,no,yes,1007,1,0,1
325,53,no,no,no,1318,3,0,1
326,55,no,no,no,922,2,0,1
327,39,no,yes,no,585,1,0,1
328,40,yes,no,no,952,4,0,1
329,59,no,no,no,834,1,0,1
330,42,no,no,no,651,3,0,1
331,41,no,no,no,683,3,0,1
332,27,no,yes,no,1012,1,0,1
333,25,no,yes,no,958,7,0,1
334,43,no,no,no,973,2,0,1
335,44,no,no,yes,911,1,0,1
336,26,no,yes,no,382,7,0,1
337,52,no,no,no,1210,1,0,1
338,54,no,no,yes,838,1,0,1
339,56,no,no,yes,422,1,0,1
340,57,no,no,yes,1098,2,0,1
341,29,no,yes,no,1663,1,0,1
342,47,no,no,yes,560,3,0,1
343,57,no,yes,yes,1617,1,0,1
344,40,no,yes,yes,570,2,0,1
345,46,no,no,no,1023,3,0,1
346,43,no,yes,no,585,2,0,1
347,45,no,no,no,693,3,0,1
348,24,no,yes,no,546,10,0,1
349,40,no,yes,yes,1036,5,0,1
350,38,no,no,no,1409,2,0,1
351,36,no,no,no,988,4,0,1
352,27,yes,no,no,498,2,0,1
353,26,no,yes,no,670,3,0,1
354,43,no,yes,no,662,2,0,1
355,25,no,yes,no,528,2,0,1
356,27,no,yes,no,519,3,0,1
357,30,no,yes,yes,677,3,0,1
358,28,no,no,yes,3183,2,0,1
359,27,no,no,yes,422,6,0,1
360,32,no,no,yes,856,2,0,1
361,41,no,yes,no,479,9,0,1
362,37,no,no,no,1135,2,0,1
363,27,no,no,no,650,2,0,1
364,29,no,no,yes,587,3,0,1
365,33,no,no,yes,676,1,0,1
366,36,no,no,no,584,1,0,1
367,28,no,yes,no,1044,3,0,1
368,55,no,yes,no,494,4,0,1
369,51,no,no,no,615,2,0,1
370,39,no,yes,no,718,2,0,1
371,42,no,yes,no,434,3,0,1
372,33,no,no,no,782,1,0,1
373,36,no,no,yes,722,3,0,1
374,45,no,no,no,621,2,0,1
375,37,no,no,no,629,2,0,1
376,46,no,no,no,385,5,0,1
377,32,no,no,no,889,1,0,1
378,28,no,no,yes,532,1,0,1
379,45,no,no,yes,574,1,0,1
380,41,yes,yes,yes,599,1,0,1
381,59,no,no,yes,849,1,0,1
382,47,no,yes,yes,973,3,0,1
383,31,no,no,no,719,2,0,1
384,31,no,no,yes,509,4,0,1
385,33,no,yes,yes,740,1,0,1
386,52,yes,no,no,534,1,0,1
387,26,no,no,no,531,1,0,1
388,25,no,no,yes,634,1,0,1
389,25,no,no,yes,460,3,0,1
390,28,no,no,yes,681,1,0,1
391,33,no,no,yes,1082,1,0,1
392,45,no,no,yes,730,1,0,1
393,36,no,no,yes,716,5,0,1
394,26,yes,no,yes,803,2,0,1
395,38,no,no,no,635,1,0,1
396,56,no,no,yes,819,3,0,1
397,26,no,no,yes,658,2,0,1
398,26,no,no,yes,1061,4,0,1
399,25,no,no,yes,687,2,0,1
400,26,no,no,no,537,1,0,1
401,40,no,yes,no,781,1,0,1
402,37,no,yes,no,645,1,0,1
403,43,no,no,no,1242,1,0,1
404,41,no,yes,no,662,1,0,1
405,49,no,no,yes,625,1,0,1
406,29,yes,no,yes,426,3,0,1
407,39,no,yes,no,869,1,0,1
408,38,yes,yes,yes,556,5,0,1
409,26,no,no,yes,359,5,0,1
410,32,no,yes,yes,1014,1,0,1
411,33,no,yes,yes,1290,4,0,1
412,31,no,no,yes,564,5,0,1
413,49,no,no,yes,1439,6,0,1
414,27,no,no,yes,919,2,0,1
415,30,no,yes,yes,1426,3,0,1
416,35,no,no,no,901,1,0,1
417,26,no,yes,no,998,4,0,1
418,45,no,yes,yes,804,1,0,1
419,34,no,yes,yes,961,1,0,1
420,28,no,no,yes,720,2,0,1
421,25,no,no,yes,1341,7,0,1
422,30,no,yes,no,634,1,0,1
423,30,no,no,yes,829,5,0,1
424,47,no,yes,no,476,4,0,1
425,57,no,no,no,724,1,0,1
426,38,no,yes,no,500,1,0,1
427,54,no,no,yes,2029,1,0,1
428,25,no,no,no,1499,3,0,1
429,30,no,yes,yes,1399,1,0,1
430,26,no,no,no,1187,3,0,1
431,31,no,yes,no,487,1,0,1
432,29,no,no,yes,1097,3,0,1
433,49,no,yes,no,1060,2,0,1
434,60,no,no,no,764,2,0,1
435,60,no,yes,no,1120,2,0,1
436,29,no,yes,no,963,2,0,1
437,55,no,yes,no,1973,2,0,1
438,44,no,yes,no,911,2,0,1
439,47,no,yes,no,853,2,0,1
440,35,no,yes,no,1649,2,0,1
441,35,no,no,yes,1397,3,0,1
442,38,no,yes,no,766,3,0,1
443,34,no,yes,no,788,2,0,1
444,50,no,no,yes,1130,3,0,1
445,43,no,yes,no,1062,4,0,1
446,44,no,yes,no,1669,2,0,1
447,51,no,no,yes,1336,4,0,1
448,31,no,yes,no,444,3,0,1
449,39,no,yes,no,894,7,0,1
450,59,no,no,yes,805,3,0,1
451,25,no,no,yes,1056,2,0,1
452,58,no,yes,no,815,4,0,1
453,30,no,yes,no,808,3,0,1
454,34,no,yes,no,860,4,0,1
455,51,no,no,yes,881,1,0,1
456,60,no,no,no,981,1,0,1
457,51,no,no,yes,1001,3,0,1
458,37,no,no,no,514,5,0,1
459,30,no,no,no,716,3,0,1
460,46,no,no,yes,769,4,0,1
461,29,no,no,no,889,5,0,1
462,27,no,no,no,448,5,0,1
463,28,no,yes,no,767,5,0,1
464,34,no,yes,no,578,1,0,1
465,29,no,yes,yes,1806,4,0,1
466,27,no,yes,no,496,1,0,1
467,26,no,no,no,586,1,0,1
468,36,no,yes,no,689,1,0,1
469,44,no,yes,no,555,1,0,1
470,39,no,no,no,686,6,0,1
471,30,no,yes,yes,435,1,0,1
472,31,no,yes,no,873,2,0,1
473,56,no,yes,no,1222,1,0,1
474,29,no,yes,no,988,1,0,1
475,43,no,no,yes,1019,11,0,1
476,32,no,yes,no,709,2,0,1
477,30,no,no,no,561,9,0,1
478,40,no,yes,yes,1018,2,0,1
479,42,no,yes,yes,1039,2,0,1
480,27,no,yes,no,781,2,0,1
481,35,no,no,yes,1656,5,0,1
482,35,no,yes,no,923,2,0,1
483,32,no,yes,no,1275,1,0,1
484,39,no,yes,no,342,2,0,1
485,31,no,yes,no,1008,2,0,1
486,26,no,no,yes,538,2,0,1
487,42,no,yes,no,795,1,0,1
488,27,no,yes,no,1027,1,0,1
489,33,no,yes,no,1584,2,0,1
490,51,no,yes,no,582,2,0,1
491,33,no,yes,no,1448,7,0,1
492,30,no,no,no,656,3,0,1
493,52,no,yes,no,1208,1,0,1
494,42,no,yes,no,1175,2,0,1
495,31,no,yes,no,536,5,0,1
496,27,no,yes,no,991,5,0,1
497,44,no,no,yes,1153,4,0,1
498,40,no,yes,no,623,3,0,1
499,46,no,yes,no,1081,2,0,1
500,32,no,yes,no,978,1,0,1
501,56,no,no,no,536,1,0,1
502,33,no,yes,no,968,1,0,1
503,33,no,yes,no,278,2,0,1
504,32,no,yes,no,560,1,0,1
505,41,no,yes,no,640,3,0,1
506,31,no,no,no,420,1,0,1
507,30,no,yes,no,658,2,0,1
508,34,no,no,no,641,1,0,1
509,43,no,yes,no,635,3,0,1
510,28,no,no,no,588,7,0,1
511,32,no,no,yes,1373,4,0,1
512,31,no,yes,yes,913,4,0,1
513,35,no,yes,no,799,2,0,1
514,31,no,yes,no,1139,2,0,1
515,25,no,no,yes,1105,2,0,1
516,56,no,no,yes,854,1,0,1
517,47,no,yes,no,919,2,0,1
518,39,no,yes,no,733,3,0,1
519,51,no,yes,no,553,1,0,1
520,54,no,no,yes,710,1,0,1
521,58,no,no,no,891,4,0,1
522,42,no,yes,no,691,10,0,1
523,56,no,no,yes,1877,1,0,1
524,55,no,yes,no,1130,8,0,1
525,26,no,yes,no,577,2,0,1
526,40,no,no,no,1342,2,0,1
527,26,no,no,yes,1002,3,0,1
528,35,no,no,yes,985,11,0,1
529,34,no,no,no,1360,3,0,1
530,41,no,no,no,1134,5,0,1
531,44,no,yes,no,712,6,0,1
532,33,no,yes,no,1077,1,0,1
533,36,no,no,yes,560,1,0,1
534,38,no,yes,no,1545,1,0,1
535,35,no,yes,no,654,2,0,1
536,41,no,no,no,1833,2,0,1
537,41,no,yes,no,1508,1,0,1
538,28,no,yes,no,598,5,0,1
539,26,no,yes,yes,1237,7,0,1
540,39,no,no,no,864,4,0,1
541,25,no,yes,no,1037,8,0,1
542,37,no,yes,no,802,11,0,1
543,25,no,yes,no,754,1,0,1
544,46,no,yes,no,870,1,0,1
545,25,no,yes,no,633,1,0,1
546,28,no,no,yes,690,1,0,1
547,33,no,no,yes,529,1,0,1
548,32,no,yes,yes,1152,2,0,1
549,32,no,yes,no,956,9,0,1
550,47,no,yes,no,957,3,0,1
551,50,no,yes,no,1327,2,0,1
552,27,no,yes,no,228,2,0,1
553,45,no,yes,no,808,1,0,1
554,51,no,no,no,638,2,0,1
555,36,no,yes,yes,1201,6,0,1
556,51,no,yes,no,1309,4,0,1
557,33,no,yes,no,1359,6,0,1
558,59,no,yes,yes,416,4,0,1
559,38,no,no,no,532,2,0,1
560,40,no,yes,no,430,4,0,1
561,51,no,yes,no,853,2,0,1
562,41,no,no,no,1204,1,0,1
563,38,no,yes,yes,1484,24,0,1
564,31,no,yes,yes,1441,2,0,1
565,28,no,yes,no,454,1,0,1
566,41,yes,no,yes,651,1,0,1
567,33,no,yes,no,1491,2,0,1
568,25,no,yes,no,903,1,0,1
569,45,no,yes,no,873,8,0,1
570,31,no,yes,no,901,2,0,1
571,28,no,yes,no,821,2,0,1
572,49,no,no,no,367,2,0,1
573,25,no,yes,no,458,9,0,1
574,28,no,yes,no,1602,6,0,1
575,54,no,no,no,1492,2,0,1
576,28,no,yes,no,1422,2,0,1
577,27,no,yes,yes,728,2,0,1
578,49,no,yes,no,979,2,0,1
579,53,no,yes,no,616,5,0,1
580,26,no,no,yes,784,1,0,1
581,37,no,no,yes,1000,1,0,1
582,34,no,no,yes,695,1,0,1
583,51,no,no,no,1946,4,0,1
584,39,no,no,no,362,8,0,1
585,35,no,yes,no,743,13,0,1
586,51,no,yes,no,2015,1,0,1
587,30,no,yes,yes,1031,8,0,1
588,42,no,yes,no,590,8,0,1
589,54,no,yes,no,1330,3,0,1
590,51,no,yes,yes,946,3,0,1
591,57,no,no,yes,1448,17,0,1
592,30,no,yes,no,279,4,0,1
593,37,no,no,yes,661,4,0,1
594,39,no,yes,no,1369,9,0,1
595,35,no,no,no,653,4,0,1
596,48,no,yes,no,458,7,0,1
597,31,no,yes,yes,664,8,0,1
598,35,no,yes,no,699,3,0,1
599,48,no,no,yes,939,3,0,1
600,53,no,no,no,1169,2,0,1
601,27,no,no,no,837,3,0,1
602,55,no,yes,no,596,4,0,1
603,40,no,yes,no,383,3,0,1
604,40,no,no,no,1009,7,0,1
605,38,no,yes,no,1096,4,0,1
606,54,no,no,yes,867,2,0,1
607,54,no,no,yes,551,3,0,1
608,50,no,no,no,890,4,0,1
609,48,no,no,no,874,2,0,1
610,41,no,no,no,710,2,0,1
611,51,no,no,no,600,2,0,1
612,42,no,no,no,2516,2,0,1
613,58,no,yes,no,1058,2,0,1
614,47,no,no,no,884,1,0,1
615,58,no,yes,no,616,13,0,1
616,41,no,no,yes,808,3,0,1
617,50,no,no,no,1011,6,0,1
618,46,no,yes,no,1013,29,0,1
619,44,no,no,no,684,2,0,1
620,36,no,no,no,843,2,0,1
621,58,no,no,no,542,2,0,1
622,44,yes,no,yes,788,2,0,1
623,49,yes,yes,no,988,2,0,1
624,55,no,no,no,814,2,0,1
625,52,no,no,no,694,2,0,1
626,60,no,no,no,441,5,0,1
627,41,yes,no,yes,1171,4,0,1
628,36,no,no,no,729,4,0,1
629,41,no,no,no,509,2,0,1
630,50,no,no,no,1089,4,0,1
631,44,no,no,yes,1211,2,0,1
632,54,no,no,no,458,3,0,1
633,35,no,yes,no,540,8,0,1
634,59,no,no,no,761,4,0,1
635,42,no,yes,no,695,2,0,1
636,27,no,yes,no,764,4,0,1
637,59,no,no,no,675,3,0,1
638,43,no,no,no,782,8,0,1
639,39,no,no,yes,962,4,0,1
640,33,no,no,no,481,3,0,1
641,36,no,no,no,812,3,0,1
642,35,no,yes,no,630,6,0,1
643,50,no,yes,no,1088,17,0,1
644,55,no,yes,yes,1150,5,0,1
645,51,no,no,no,574,2,0,1
646,48,yes,no,no,725,4,0,1
647,55,no,no,no,463,6,0,1
648,30,no,yes,no,662,13,0,1
649,53,no,no,no,727,4,0,1
650,40,no,no,no,1107,2,0,1
651,44,no,no,yes,829,4,0,1
652,49,no,no,no,1212,4,0,1
653,40,no,no,no,1142,5,0,1
654,58,no,no,no,1721,5,0,1
655,49,no,no,no,1032,4,0,1
656,38,no,no,no,846,1,0,1
657,51,no,no,no,870,1,0,1
658,36,no,no,no,1165,1,0,1
659,55,no,no,no,1110,1,0,1
660,43,no,no,no,1488,2,0,1
661,60,no,no,no,603,3,0,1
662,57,no,no,no,641,2,0,1
663,41,no,no,no,837,2,0,1
664,50,no,no,no,553,1,0,1
665,53,no,no,no,794,1,0,1
666,59,no,yes,yes,836,1,0,1
667,59,no,no,no,1134,1,0,1
668,52,no,no,no,607,3,0,1
669,58,no,no,no,1536,1,0,1
670,59,no,yes,no,515,3,0,1
671,49,no,no,no,935,1,0,1
672,33,no,no,no,1051,2,0,1
673,55,no,no,no,1200,2,0,1
674,42,no,no,no,531,3,0,1
675,52,no,no,no,766,2,0,1
676,38,no,no,no,1311,2,0,1
677,55,no,no,yes,618,2,0,1
678,49,no,no,no,875,2,0,1
679,56,no,yes,no,419,3,0,1
680,46,no,no,no,1227,2,0,1
681,57,no,no,no,1357,4,0,1
682,61,no,no,no,455,4,0,1
683,45,no,no,no,406,2,0,1
684,39,no,no,no,902,3,0,1
685,46,no,no,no,740,2,0,1
686,43,no,no,no,501,2,0,1
687,34,no,no,no,835,2,0,1
688,35,no,no,no,720,2,0,1
689,36,yes,no,no,836,4,0,1
690,45,no,no,no,490,2,0,1
691,47,no,no,no,763,2,0,1
692,42,no,yes,no,649,4,0,1
693,40,no,no,no,641,6,0,1
694,40,no,no,no,738,2,0,1
695,32,no,no,no,1044,4,0,1
696,33,no,no,yes,482,2,0,1
697,32,no,no,no,1249,4,0,1
698,46,no,no,no,996,1,0,1
699,50,no,yes,no,1250,4,0,1
700,51,no,no,no,1471,7,0,1
701,30,no,no,no,1456,3,0,1
702,39,no,no,no,395,2,0,1
703,47,no,no,no,663,4,0,1
704,40,no,no,no,674,2,0,1
705,50,no,yes,no,526,2,0,1
706,60,no,no,no,401,3,0,1
707,32,no,no,no,1321,9,0,1
708,57,no,no,no,797,2,0,1
709,41,no,no,no,352,2,0,1
710,50,no,no,no,670,1,0,1
711,46,no,yes,no,429,3,0,1
712,31,no,no,no,1182,1,0,1
713,36,no,no,no,876,1,0,1
714,45,no,no,no,895,3,0,1
715,33,no,no,no,341,5,0,1
716,47,no,no,yes,994,2,0,1
717,35,no,no,no,507,4,0,1
718,38,no,no,no,317,4,0,1
719,33,no,no,no,512,4,0,1
720,44,no,no,no,809,2,0,1
721,31,no,no,yes,523,2,0,1
722,31,no,no,no,669,2,0,1
723,49,no,no,no,780,4,0,1
724,52,no,no,no,459,2,0,1
725,31,no,no,no,1000,1,0,1
726,35,no,yes,yes,733,3,0,1
727,31,no,no,no,848,1,0,1
