,CustomerID,number_of_purchases,avg_order_cost,revenue_2020
1579,14498.0,1,166.22,1791.1
1586,14505.0,1,1050.35,4855.29
1587,14506.0,1,269.7,1742.47
1600,14524.0,1,275.45,1592.23
1601,14525.0,1,462.3,3869.9
1602,14527.0,4,231.3725,7583.33
1606,14532.0,1,222.6,710.25
1607,14533.0,1,433.5,1516.22
1617,14543.0,1,254.4,3375.9300000000003
1618,14544.0,1,1121.92,902.53
1630,14560.0,1,408.17,1829.6
1633,14565.0,1,1167.41,1931.71
1639,14573.0,1,413.1,1240.32
1641,14577.0,1,346.9,512.81
1654,14594.0,1,255.0,124.83
1661,14606.0,7,178.09428571428572,10909.99
1663,14608.0,1,204.0,1581.15
1669,14621.0,1,305.7,1482.66
1673,14625.0,1,585.53,314.1
1682,14639.0,1,676.54,2307.95
1686,14643.0,1,357.94,335.87
1689,14646.0,2,4295.94,271614.14
1706,14667.0,4,499.525,7243.1
1710,14673.0,1,373.49,1362.91
1713,14680.0,2,1437.6999999999998,25878.71
1716,14684.0,1,168.36,1067.92
1718,14688.0,1,444.98,5185.89
1724,14696.0,1,294.62,1784.33
1730,14702.0,1,318.7,2973.44
1734,14708.0,1,419.06,707.31
1735,14709.0,1,314.1,4606.9400000000005
1739,14713.0,2,212.925,2240.51
1746,14723.0,2,235.5,687.3
1753,14733.0,3,1452.4066666666668,5228.6900000000005
1754,14735.0,1,252.2,5813.49
1755,14737.0,1,434.0,730.55
1757,14739.0,1,713.88,3188.4
1759,14741.0,2,247.65,905.04
1760,14744.0,1,225.0,874.98
1763,14748.0,1,470.42,945.33
1777,14766.0,1,180.4,2292.9700000000003
1779,14769.0,1,347.01,10327.74
1782,14775.0,1,406.56,605.3399999999999
1797,14796.0,2,514.4100000000001,6993.67
1800,14800.0,2,609.925,3119.89
1807,14810.0,1,180.44,1907.44
1818,14825.0,2,198.21500000000003,1830.48
1820,14829.0,2,192.665,312.22
1826,14841.0,1,395.16,2900.6
1830,14849.0,2,283.445,7363.650000000001
1844,14865.0,1,37.2,15.0
1845,14866.0,1,103.68,14286.22
1850,14871.0,1,140.4,381.98
1853,14878.0,1,322.01,1163.53
1868,14896.0,1,257.22,211.55
1870,14898.0,1,98.5,1205.02
1871,14901.0,3,165.68333333333334,924.24
1876,14907.0,2,480.345,2540.41
1879,14911.0,10,773.7940000000001,136087.12
1881,14913.0,1,300.87,926.56
1903,14952.0,1,686.16,7413.33
1910,14961.0,1,1182.7,5861.98
1928,14985.0,1,124.51,172.24
1929,14987.0,1,163.2,163.2
1935,15002.0,1,631.65,1010.11
1937,15005.0,2,235.205,5846.16
1942,15012.0,1,191.06,231.98
1946,15018.0,1,111.25,384.96
1948,15021.0,1,205.64,1709.18
1950,15023.0,1,460.6,6342.16
1951,15024.0,1,491.22,1170.11
1955,15028.0,1,185.97,441.16
1958,15032.0,1,2770.6,2188.5
1960,15034.0,1,842.9,3465.71
1963,15038.0,1,126.43,579.06
1964,15039.0,2,658.88,18596.68
1968,15044.0,3,713.0500000000001,5561.08
1972,15048.0,1,98.7,285.35
1983,15061.0,4,4987.665,34583.48
1984,15062.0,1,209.08,778.78
1997,15078.0,2,409.3250000000001,8924.460000000001
1998,15079.0,1,141.95,753.66
1999,15081.0,1,111.15,393.65
2007,15093.0,1,623.73,3973.29
2013,15100.0,2,350.4,175.2
2014,15101.0,1,102.28,215.25
2019,15107.0,2,88.525,142.45
2023,15111.0,1,288.5,1278.98
2061,15157.0,1,1085.46,850.61
2063,15159.0,1,1860.98,16780.03
2084,15192.0,1,315.0,729.3199999999999
2086,15194.0,3,519.6633333333333,6057.54
2088,15197.0,1,556.5,523.11
2096,15208.0,1,65.4,804.72
2098,15211.0,1,383.07,511.34
2118,15235.0,3,231.5466666666667,1552.87
2128,15246.0,1,186.0,328.15000000000003
2139,15260.0,1,420.5,1390.27
2149,15271.0,1,111.75,2395.32
2160,15288.0,1,165.65,2140.87
2162,15290.0,1,219.6,7723.62
2163,15291.0,2,324.45000000000005,4019.4
2167,15298.0,1,397.6,4402.3
2168,15299.0,1,1835.01,2672.0
2170,15301.0,1,673.37,4396.98
2172,15304.0,1,123.15,571.25
2176,15311.0,9,297.40666666666664,58091.24
2177,15312.0,1,289.74,635.11
2207,15351.0,1,274.67,1685.44
2208,15353.0,1,311.65000000000003,465.37
2210,15356.0,2,182.77,2400.96
2211,15358.0,1,624.55,7722.650000000001
2217,15366.0,1,105.54,496.97
2222,15373.0,2,268.55,1878.81
2225,15379.0,1,1491.46,2211.83
2226,15380.0,1,230.1,1460.16
2229,15384.0,1,303.57,338.84
2234,15392.0,1,338.98,1196.55
2236,15394.0,1,587.66,1595.88
2260,15426.0,1,411.42,1035.97
2283,15456.0,1,243.22,204.0
2290,15465.0,2,433.925,6486.77
2301,15482.0,1,723.64,10331.32
2304,15485.0,1,950.09,1624.91
2312,15498.0,1,976.72,12339.68
2314,15502.0,2,464.7,9455.53
2323,15512.0,1,101.2,19.8
2324,15513.0,2,656.75,13444.72
2325,15514.0,2,942.355,2254.75
2334,15525.0,1,313.93,511.99
2336,15527.0,1,221.4,2208.38
2338,15529.0,2,160.73000000000002,3673.77
2341,15532.0,1,356.35,1224.58
2349,15544.0,1,354.54,3192.17
2350,15545.0,1,135.32999999999998,157.39
2351,15547.0,1,767.37,4187.47
2358,15555.0,3,329.94,3815.35
2363,15563.0,1,270.19,1130.25
2368,15570.0,3,354.87999999999994,3100.88
2372,15574.0,2,295.075,112.1
2377,15581.0,3,108.65333333333336,3354.01
2381,15587.0,1,344.88,568.8
2386,15596.0,1,402.32,1004.27
2390,15601.0,2,618.225,5540.11
2391,15602.0,2,76.275,1145.32
2394,15605.0,1,194.85,1003.38
2402,15615.0,1,1081.19,9318.55
2405,15620.0,1,424.49,1128.69
2412,15628.0,1,319.18,2551.06
2419,15640.0,3,922.23,9748.97
2420,15641.0,1,308.37,1578.83
2424,15646.0,1,189.8,257.84000000000003
2426,15649.0,1,510.0,306.0
2434,15658.0,1,306.2,717.9000000000001
2436,15660.0,1,209.3,1391.56
2453,15680.0,1,478.89,854.7900000000001
2457,15689.0,1,103.5,150.6
2461,15694.0,3,282.4433333333333,5632.07
2472,15708.0,1,350.68,3013.56
2475,15713.0,1,171.15,185.55
2477,15716.0,1,547.1,571.71
2486,15727.0,1,1536.85,3642.11
2489,15732.0,1,138.1,156.02
2493,15738.0,1,329.65000000000003,4482.77
2503,15750.0,1,340.52,2124.96
2504,15752.0,1,259.65000000000003,2377.73
2511,15759.0,1,97.24,155.8
2517,15769.0,1,91.8,56160.92
2522,15777.0,1,365.55,681.56
2523,15780.0,1,177.15,298.13
2543,15805.0,1,370.8,5157.68
2546,15808.0,2,1124.9250000000002,1485.12
2549,15811.0,2,219.4,1779.82
2557,15822.0,1,440.2,445.27
2561,15827.0,1,190.93,1645.16
2570,15838.0,1,957.5,32685.58
2581,15854.0,1,230.1,2744.55
2583,15856.0,3,1093.77,13106.26
2585,15858.0,1,383.93,1054.92
2586,15860.0,1,102.66,874.5500000000001
2588,15862.0,1,354.23,478.65
2593,15867.0,3,185.74,3255.42
2600,15881.0,2,77.625,346.14000000000004
2601,15882.0,1,371.3200000000001,145.04000000000002
2606,15889.0,1,297.92,148.95
2608,15894.0,1,156.74,106.81
2611,15898.0,2,260.845,867.19
2622,15916.0,1,232.45,1295.64
2625,15919.0,1,270.72,369.17
2645,15950.0,1,428.82,1336.69
2648,15953.0,1,209.84,1449.54
2649,15955.0,1,572.38,3843.88
2653,15965.0,1,156.19,689.45
2666,15983.0,3,382.75666666666666,326.75
2667,15984.0,1,122.7,2714.9700000000003
2670,15987.0,1,113.48,1337.8000000000002
2676,15996.0,1,263.25,797.4300000000001
2677,15998.0,1,863.39,2226.58
2679,16003.0,1,1181.0,1554.37
2685,16010.0,1,110.1,297.4
2686,16011.0,2,203.05,2956.61
2688,16013.0,3,991.0,34157.6
2691,16016.0,1,382.27,1126.49
2694,16019.0,1,219.1,3567.1400000000003
2702,16029.0,4,3278.13,67912.31999999999
2705,16033.0,2,154.84500000000003,8506.71
2708,16037.0,1,300.46,554.56
2724,16059.0,1,118.25,1341.61
2725,16062.0,1,247.56,906.06
2737,16081.0,1,157.6,2649.3
2738,16083.0,1,337.98,979.64
2741,16086.0,1,177.26,944.13
2748,16098.0,1,430.6,1575.03
2769,16122.0,1,105.72,578.7
2778,16134.0,1,283.53000000000003,334.56
2782,16140.0,1,124.14,601.04
2785,16143.0,2,405.675,1613.59
2787,16145.0,1,302.78,3496.71
2792,16150.0,1,393.42,1659.6
2794,16153.0,1,215.01,1609.22
2799,16161.0,3,192.1,4999.26
2801,16163.0,1,441.6,415.00000000000006
2803,16168.0,1,275.8,3511.8
2820,16186.0,1,307.68,3699.26
2825,16191.0,1,627.5999999999999,4552.92
2831,16203.0,1,170.7,422.2
2838,16210.0,4,1750.16,14085.66
2846,16218.0,1,471.3,2613.38
2847,16221.0,1,166.74,698.12
2856,16233.0,1,147.39999999999998,389.28
2861,16241.0,1,277.65000000000003,2330.2200000000003
2864,16244.0,1,1056.63,466.12
2869,16250.0,1,226.14,163.3
2871,16255.0,1,374.25,2245.66
2877,16265.0,1,840.8100000000001,4606.19
2881,16271.0,1,133.22,1296.02
2894,16293.0,1,378.75,1870.24
2901,16306.0,1,68.1,564.17
2907,16316.0,1,308.22,2630.69
2918,16327.0,1,535.6,3308.62
2937,16353.0,4,127.5,6165.710000000001
2948,16365.0,2,184.23,1171.96
2950,16367.0,1,170.91,633.58
2963,16385.0,1,148.23000000000002,407.66
2968,16393.0,2,145.775,2754.66
2975,16402.0,1,211.8,87.8
2982,16411.0,1,131.5,83.15
2990,16422.0,3,675.1066666666667,32659.08
3005,16442.0,1,151.66,465.13
3015,16455.0,2,265.99,1309.1999999999998
3016,16456.0,1,787.4,1370.97
3018,16458.0,1,193.9,3288.84
3027,16470.0,1,216.34,546.05
3032,16477.0,2,272.2,1950.06
3050,16503.0,1,488.09,943.84
3062,16519.0,1,103.7,111.38
3063,16520.0,1,325.76,720.81
3065,16525.0,2,401.22,12225.01
3070,16531.0,1,92.82,1151.77
3075,16539.0,2,373.625,641.56
3078,16546.0,1,299.40000000000003,487.75
3080,16550.0,1,554.66,1744.31
3082,16552.0,1,95.29,284.44
3083,16553.0,1,1609.44,4110.38
3086,16556.0,1,310.85,3002.94
3088,16558.0,2,440.275,7457.94
3089,16560.0,1,332.18,509.23
3113,16596.0,1,120.65,129.5
3120,16607.0,2,327.41,2692.89
3141,16634.0,1,164.8,53.1
3143,16638.0,2,35.400000000000006,1609.9199999999998
3154,16654.0,1,227.4,373.87
3156,16656.0,1,428.76,8197.04
3166,16670.0,1,403.61,3692.29
3176,16684.0,3,1037.8,63540.16
3178,16686.0,1,364.98,2697.85
3187,16700.0,1,336.94,4739.610000000001
3188,16701.0,1,476.76,4921.54
3189,16705.0,1,1131.72,12903.27
3193,16710.0,2,262.485,1958.07
3194,16711.0,1,214.2,1436.83
3196,16713.0,2,379.27,6164.59
3200,16717.0,1,307.25,3551.13
3202,16719.0,1,430.73,1359.69
3205,16722.0,2,399.76,3931.29
3207,16725.0,2,163.6,453.8200000000001
3208,16726.0,1,129.57,1252.45
3220,16743.0,1,430.28,1807.81
3223,16746.0,1,311.64,6386.02
3245,16770.0,2,131.10000000000002,507.9
3249,16775.0,1,231.9,1463.76
3253,16779.0,2,343.915,9941.89
3256,16782.0,2,288.995,1701.91
3271,16805.0,1,214.77,245.82
3280,16814.0,1,273.29,6235.81
3281,16816.0,1,75.78,341.28
3282,16817.0,2,183.65,1237.45
3295,16835.0,1,81.75,99.1
3299,16839.0,1,552.24,16042.11
3315,16863.0,1,164.25,338.55
3320,16873.0,1,2157.64,4965.98
3327,16883.0,1,128.03,148.7
3329,16885.0,1,190.65,280.86
3332,16891.0,1,232.26,577.44
3337,16898.0,1,116.08,392.73
3338,16899.0,1,170.55,1111.01
3342,16904.0,1,338.7,3415.57
3343,16905.0,1,254.4,2848.03
3345,16907.0,1,182.02,799.6300000000001
3352,16916.0,1,198.08,378.18
3355,16919.0,2,270.005,2056.44
3357,16923.0,1,550.5,6697.11
3360,16927.0,1,218.1,324.95
3361,16928.0,1,116.25,2731.35
3364,16931.0,2,182.33,4239.56
3373,16945.0,1,279.85,4065.65
3377,16950.0,1,172.0,1006.56
3381,16954.0,1,346.79999999999995,1738.28
3382,16955.0,2,94.55,329.57
3400,16983.0,1,163.49,1767.7599999999998
3402,16985.0,1,933.32,4530.8
3409,16996.0,1,127.54,1329.42
3413,17001.0,1,397.96,3591.61
3417,17007.0,1,207.12,682.81
3422,17017.0,4,589.41,6336.62
3424,17019.0,1,358.82,913.79
3427,17025.0,1,160.97,196.8
3428,17026.0,1,33.15,121.68
3433,17033.0,1,307.8,722.3399999999999
3439,17041.0,1,304.5,777.0699999999999
3454,17059.0,1,722.36,2372.6800000000003
3457,17062.0,3,145.24333333333334,102.64
3460,17068.0,2,148.72500000000002,4254.69
3461,17069.0,2,291.6,2126.5
3466,17076.0,1,151.5,689.5799999999999
3474,17085.0,2,370.22,826.21
3477,17090.0,1,61.2,1982.75
3478,17091.0,1,293.45000000000005,3534.3100000000004
3483,17097.0,1,174.72,779.7
3502,17126.0,1,212.6,792.15
3507,17135.0,1,215.58,924.15
3513,17146.0,1,298.25,451.53
3521,17158.0,1,413.79,853.18
3536,17179.0,1,243.0,468.79
3538,17181.0,1,155.52,84.39999999999999
3542,17188.0,1,513.64,1960.59
3543,17189.0,1,227.22,157.18
3545,17191.0,1,510.11,1585.02
3547,17194.0,1,252.62,10.0
3549,17198.0,2,260.83,170.56
3555,17211.0,3,259.90333333333336,1537.51
3557,17213.0,2,307.925,2165.38
3558,17214.0,1,171.05,898.07
3560,17218.0,3,202.09333333333333,1354.44
3562,17220.0,1,317.5,2880.75
3565,17223.0,1,292.84,133.95
3567,17227.0,1,142.25,797.0699999999999
3568,17228.0,2,177.975,1550.14
3570,17230.0,2,1380.005,878.4
3571,17231.0,1,232.01,2942.31
3575,17235.0,1,341.9,208.16
3576,17236.0,1,126.28,789.85
3578,17238.0,1,370.09,3374.56
3581,17243.0,3,285.0166666666667,7821.8
3593,17259.0,1,381.64,221.73
3594,17262.0,1,268.86,984.5
3608,17287.0,2,111.35,841.4100000000001
3609,17288.0,1,133.56,1286.17
3613,17293.0,1,346.14,1528.97
3621,17306.0,1,324.0,8307.31
3627,17315.0,1,108.92,6183.34
3629,17320.0,1,450.92,749.7
3632,17324.0,1,127.05,863.18
3640,17338.0,1,767.6,5876.33
3641,17339.0,1,60.0,183.36
3642,17340.0,2,2180.195,7992.9
3643,17341.0,1,513.6,267.76
3647,17346.0,2,123.92,2428.72
3657,17358.0,1,246.7,119.15
3667,17371.0,1,97.63,326.26
3668,17372.0,2,185.39,971.9
3671,17375.0,1,109.71,290.39
3673,17377.0,3,261.6933333333333,3315.84
3675,17381.0,2,1801.86,16671.89
3685,17392.0,1,312.41,145.5
3687,17396.0,1,397.5,6933.299999999999
3690,17400.0,1,424.17,1705.79
3691,17402.0,1,459.97,2173.88
3693,17404.0,2,1917.15,28072.52
3695,17406.0,1,702.1,1498.32
3700,17412.0,2,223.88,810.3000000000001
3705,17419.0,1,374.27,3852.3
3706,17420.0,1,130.85,467.98
3712,17428.0,2,446.975,16362.9
3714,17430.0,1,112.6,153.16000000000005
3727,17449.0,1,684.26,1836.6
3728,17450.0,1,2028.84,192521.95
3731,17454.0,1,165.85,351.68
3737,17460.0,2,35.150000000000006,552.13
3745,17470.0,1,178.4,946.67
3754,17491.0,1,327.4,3231.47
3771,17511.0,3,2237.026666666666,84351.3
3778,17519.0,1,335.3,1508.72
3785,17526.0,2,119.3,957.3
3788,17530.0,1,300.64,2084.36
3802,17552.0,1,298.52,631.89
3813,17567.0,1,517.95,3813.53
3816,17572.0,1,70.80000000000001,155.95
3819,17576.0,2,148.5,3325.68
3822,17580.0,1,46.85,168.87
3823,17581.0,1,786.78,10258.26
3830,17591.0,1,406.6,1819.37
3831,17593.0,1,662.9,3264.44
3834,17596.0,1,392.62,2435.31
3843,17611.0,1,244.19,3740.03
3848,17616.0,1,326.4,244.8
3849,17618.0,1,320.28,651.3
3852,17621.0,1,239.4,1140.5
3857,17629.0,1,238.65,1575.47
3869,17646.0,1,251.0,757.3900000000001
3878,17655.0,1,676.1,1962.84
3881,17659.0,2,179.97500000000002,2639.51
3890,17671.0,1,394.18,1178.53
3893,17674.0,1,300.66,250.38
3894,17675.0,2,509.56,19355.16
3895,17676.0,1,300.70000000000005,1086.98
3896,17677.0,2,808.3000000000001,14746.63
3900,17682.0,1,391.5,2082.83
3902,17685.0,2,231.51,2728.51
3904,17690.0,3,229.30000000000004,4070.05
3906,17692.0,1,343.26,397.68
3910,17696.0,1,175.60000000000002,2110.11
3919,17706.0,1,477.83,10026.66
3930,17720.0,1,102.0,1093.94
3931,17722.0,1,910.14,1513.9
3942,17735.0,1,454.6,12655.42
3946,17739.0,1,360.06,2431.29
3948,17744.0,1,377.52,1944.88
3955,17757.0,4,141.45,5039.49
3958,17760.0,1,172.54,115.05
3977,17787.0,1,736.28,1128.91
3980,17790.0,3,133.18333333333334,1566.0
3984,17796.0,1,114.65,583.25
3986,17799.0,1,223.48,2832.45
3988,17802.0,1,100.2,1184.84
3991,17809.0,2,625.75,4160.41
3993,17812.0,1,217.55,514.61
3995,17816.0,1,16.21,20.35
3997,17819.0,2,490.06,2724.75
3999,17827.0,1,1271.8,723.66
4008,17838.0,2,467.78,1843.74
4010,17841.0,6,412.1783333333333,38518.5
4014,17848.0,1,97.3,803.9
4021,17857.0,2,670.35,25538.34
4022,17858.0,2,778.425,3598.81
4027,17863.0,1,384.72,2775.28
4029,17865.0,2,539.915,9446.49
4032,17869.0,1,214.32,213.86
4033,17870.0,1,326.4,1567.95
4035,17873.0,1,215.15,1644.0100000000002
4043,17884.0,2,162.31,392.83
4047,17888.0,1,29.43,696.62
4049,17890.0,1,476.96,125.13
4053,17894.0,4,128.9625,603.96
4056,17897.0,2,217.31,131.98
4062,17905.0,2,197.075,406.09
4066,17912.0,3,96.47,21.6
4067,17913.0,1,218.05,193.55
4069,17917.0,1,110.91,230.37
4071,17920.0,2,367.955,3468.19
